Address,Final Clearance Date,Alderman
"5361 North 34th Street, Milwaukee, Wisconsin 53209",06-24-2022,1
"4465 North 22nd Street, Milwaukee, Wisconsin 53209",03-24-2022,1
"4576 North 28th Street, Milwaukee, Wisconsin 53209",05-11-2022,1
"4921 North 18th Street, Milwaukee, Wisconsin 53209",02-10-2022,1
"5361 North 39th Street, Milwaukee, Wisconsin 53209",02-16-2022,1
"4724 North 19th Street, Milwaukee, Wisconsin 53209",01-27-2022,1
"3929 West Fairmount Avenue, Milwaukee, Wisconsin 53209",10-11-2021,1
"5018 North 25th Street, Milwaukee, Wisconsin 53209",12-17-2021,1
"4963 North 49th Street, Milwaukee, Wisconsin 53218",10-27-2021,1
"4056 North 14th Street, Milwaukee, Wisconsin 53209",03-15-2021,1
"1339 West Lawn Avenue, Milwaukee, Wisconsin 53209",06-23-2021,1
"4112 North 24th Street, Milwaukee, Wisconsin 53209",05-19-2021,1
"5733 North 36th Street, Milwaukee, Wisconsin 53209",12-06-2019,1
"5735 North 36th Street, Milwaukee, Wisconsin 53209",12-06-2019,1
"5542 North 33rd Street, Milwaukee, Wisconsin 53209",03-01-2021,1
"5463 North 40th Street, Milwaukee, Wisconsin 53209",04-12-2021,1
"4969 North 19th Place, Milwaukee, Wisconsin 53209",04-22-2021,1
"4578 North 24th Street, Milwaukee, Wisconsin 53209",11-12-2020,1
"5357 North 34th Street A, Milwaukee, Wisconsin 53209",11-06-2020,1
"5357 North 34th Street, Milwaukee, Wisconsin 53209",11-10-2020,1
"4909 North 19th Street, Milwaukee, Wisconsin 53209",08-04-2020,1
"5540 North 41st Street, Milwaukee, Wisconsin 53209",07-06-2020,1
"4208 North 14th Street, Milwaukee, Wisconsin 53209",09-27-2019,1
"5327 North 33rd Street, Milwaukee, Wisconsin 53209",03-13-2020,1
"5529 North 36th Street A, Milwaukee, Wisconsin 53209",04-01-2020,1
"4689 North 19th Street A, Milwaukee, Wisconsin 53209",02-10-2020,1
"4689 North 19th Street, Milwaukee, Wisconsin 53209",02-10-2020,1
"1956 West Congress Street, Milwaukee, Wisconsin 53209",01-15-2020,1
"1956 West Congress Street A, Milwaukee, Wisconsin 53209",01-15-2020,1
"2732 West Villard Avenue, Milwaukee, Wisconsin 53209",03-13-2020,1
"6109 North 39th Street, Milwaukee, Wisconsin 53209",02-13-2020,1
"4859 North 36th Street, Milwaukee, Wisconsin 53209",08-21-2018,1
"4604 North 24th Street, Milwaukee, Wisconsin 53209",06-06-2018,1
"2118 West Roosevelt Drive, Milwaukee, Wisconsin 53209",03-28-2018,1
"4667 North 19th Place, Milwaukee, Wisconsin 53209",03-02-2018,1
"4667 North 19th Place A, Milwaukee, Wisconsin 53209",03-02-2018,1
"4915 North 19th Street, Milwaukee, Wisconsin 53209",02-03-2020,1
"2206 West Ruby Avenue, Milwaukee, Wisconsin 53209",07-19-2019,1
"4044 North 19th Street, Milwaukee, Wisconsin 53209",06-27-2019,1
"4657 North 19th Place, Milwaukee, Wisconsin 53209",03-01-2019,1
"4163 North 21st Street, Milwaukee, Wisconsin 53209",04-25-2019,1
"6113 North 38th Street, Milwaukee, Wisconsin 53209",01-02-2019,1
"5228 North 53rd Street, Milwaukee, Wisconsin 53218",01-10-2019,1
"5226 North 53rd Street, Milwaukee, Wisconsin 53218",01-10-2019,1
"5461 North 36th Street, Milwaukee, Wisconsin 53209",10-29-2019,1
"4026 North 25th Street A, Milwaukee, Wisconsin 53209",08-09-2019,1
"4026 North 25th Street, Milwaukee, Wisconsin 53209",08-09-2019,1
"4032 North 19th Place, Milwaukee, Wisconsin 53209",05-13-2019,1
"4141 North 15th Street, Milwaukee, Wisconsin 53209",03-29-2019,1
"4834 North 42nd Street, Milwaukee, Wisconsin 53209",12-05-2018,1
"5008 North 24th Place, Milwaukee, Wisconsin 53209",02-06-2018,1
"4328 West Eggert Place, Milwaukee, Wisconsin 53218",02-13-2018,1
"5127 North 41st Street, Milwaukee, Wisconsin 53209",10-19-2018,1
"5220 North 28th Street, Milwaukee, Wisconsin 53209",09-06-2018,1
"5351 North 45th Street, Milwaukee, Wisconsin 53218",09-04-2018,1
"6086 North 36th Street, Milwaukee, Wisconsin 53209",11-09-2018,1
"4192 North 14th Street, Milwaukee, Wisconsin 53209",10-23-2018,1
"4654 North 29th Street, Milwaukee, Wisconsin 53209",02-08-2018,1
"4116 North 16th Street, Milwaukee, Wisconsin 53209",01-17-2018,1
"5326 North 35th Street, Milwaukee, Wisconsin 53209",12-19-2018,1
"4064 North 15th Street, Milwaukee, Wisconsin 53209",01-05-2018,1
"4363 North 16th Street, Milwaukee, Wisconsin 53209",09-20-2018,1
"4142 North 10th Street, Milwaukee, Wisconsin 53209",05-21-2018,1
"5266 North 37th Street, Milwaukee, Wisconsin 53209",06-29-2018,1
"4365 North 16th Street, Milwaukee, Wisconsin 53209",09-26-2018,1
"4604 North 24th Street A, Milwaukee, Wisconsin 53209",06-06-2018,1
"4403 North 29th Street, Milwaukee, Wisconsin 53209",10-31-2018,1
"4107 North 25th Street, Milwaukee, Wisconsin 53209",06-06-2019,1
"4046 North 12th Street, Milwaukee, Wisconsin 53209",03-25-2019,1
"4885 North 18th Street, Milwaukee, Wisconsin 53209",01-24-2018,1
"4832 North 60th Street, Milwaukee, Wisconsin 53218",06-22-2022,2
"7020 West Herbert Avenue, Milwaukee, Wisconsin 53218",05-12-2022,2
"5843 North 75th Street, Milwaukee, Wisconsin 53218",12-16-2021,2
"6729 West Medford Avenue, Milwaukee, Wisconsin 53218",11-08-2021,2
"5841 North 66th Street, Milwaukee, Wisconsin 53218",02-01-2021,2
"5380 North 68th Street, Milwaukee, Wisconsin 53218",05-06-2021,2
"7961 West Fond Du Lac Avenue, Milwaukee, Wisconsin 53218",10-18-2019,2
"4827 North 65th Street, Milwaukee, Wisconsin 53218",08-08-2019,2
"5745 North 64th Street, Milwaukee, Wisconsin 53218",10-04-2019,2
"5630 North 66th Street, Milwaukee, Wisconsin 53218",10-30-2019,2
"7449 West Beckett Avenue, Milwaukee, Wisconsin 53216",03-21-2019,2
"7866 West Palmetto Avenue, Milwaukee, Wisconsin 53218",11-01-2019,2
"8116 West Sheridan Avenue, Milwaukee, Wisconsin 53218",01-09-2019,2
"4747 North 72nd Street, Milwaukee, Wisconsin 53218",10-04-2019,2
"2728 North Weil Street, Milwaukee, Wisconsin 53212",08-14-2020,3
"1122 North 27th Street 4, Milwaukee, Wisconsin 53208",06-17-2019,4
"502 North 32nd Street, Milwaukee, Wisconsin 53208",03-21-2022,4
"2435 West Wisconsin Avenue 108, Milwaukee, Wisconsin 53233",12-04-2021,4
"2913 West Vliet Street, Milwaukee, Wisconsin 53208",11-22-2021,4
"2435 West Wisconsin Avenue 103, Milwaukee, Wisconsin 53233",12-28-2021,4
"1315 North 25th Street, Milwaukee, Wisconsin 53205",09-13-2021,4
"2915 West Vliet Street, Milwaukee, Wisconsin 53208",11-22-2021,4
"3244 West Juneau Avenue, Milwaukee, Wisconsin 53208",07-27-2021,4
"2933 West Wells Street 201, Milwaukee, Wisconsin 53208",08-06-2021,4
"310 North 30th Street, Milwaukee, Wisconsin 53208",07-11-2019,4
"308 North 30th Street, Milwaukee, Wisconsin 53208",07-11-2019,4
"3317 West Clybourn Street, Milwaukee, Wisconsin 53208",12-04-2020,4
"1038 South 26th Street, Milwaukee, Wisconsin 53204",04-09-2021,4
"1009 North 19th Street, Milwaukee, Wisconsin 53233",04-09-2020,4
"2455 West Juneau Avenue A, Milwaukee, Wisconsin 53233",04-05-2018,4
"2455 West Juneau Avenue, Milwaukee, Wisconsin 53233",04-05-2018,4
"3415 West Juneau Avenue, Milwaukee, Wisconsin 53208",11-06-2018,4
"2635 West Vliet Street, Milwaukee, Wisconsin 53205",12-21-2018,4
"324 North 30th Street, Milwaukee, Wisconsin 53208",08-09-2019,4
"4344 North 88th Street, Milwaukee, Wisconsin 53222",10-18-2021,5
"3363 North 79th Street, Milwaukee, Wisconsin 53222",09-13-2021,5
"3380 North 37th Street, Milwaukee, Wisconsin 53216",06-08-2021,5
"9323 West Lisbon Avenue, Milwaukee, Wisconsin 53222",10-08-2019,5
"3252 North 1st Street, Milwaukee, Wisconsin 53212",07-05-2022,6
"3766 North Vel R. Phillips Avenue, Milwaukee, Wisconsin 53212",04-21-2022,6
"3521 North 22nd Street, Milwaukee, Wisconsin 53206",05-25-2022,6
"2341 North Vel R. Phillips Avenue, Milwaukee, Wisconsin 53212",04-28-2022,6
"3614 North 2nd Street, Milwaukee, Wisconsin 53212",03-10-2022,6
"3279 North 21st Street, Milwaukee, Wisconsin 53206",12-19-2018,6
"3902 North 6th Street, Milwaukee, Wisconsin 53212",01-26-2022,6
"3552 North 10th Street, Milwaukee, Wisconsin 53206",06-24-2021,6
"2405 West Keefe Avenue, Milwaukee, Wisconsin 53206",12-15-2021,6
"126 West Chambers Street, Milwaukee, Wisconsin 53212",11-17-2021,6
"3621 North 2nd Street, Milwaukee, Wisconsin 53212",11-15-2021,6
"2963 North 12th Street, Milwaukee, Wisconsin 53206",07-22-2021,6
"213 East Burleigh Street, Milwaukee, Wisconsin 53212",08-10-2021,6
"3381 North 22nd Street A, Milwaukee, Wisconsin 53206",03-23-2021,6
"3631 North 19th Street, Milwaukee, Wisconsin 53206",03-19-2021,6
"3071 North 19th Street, Milwaukee, Wisconsin 53206",08-23-2021,6
"2430 North 2nd Street, Milwaukee, Wisconsin 53212",08-16-2021,6
"2216 West Keefe Avenue, Milwaukee, Wisconsin 53206",02-18-2021,6
"2803 North Palmer Street, Milwaukee, Wisconsin 53212",11-25-2020,6
"250 East North Avenue, Milwaukee, Wisconsin 53212",05-20-2021,6
"3548 North 25th Street, Milwaukee, Wisconsin 53206",07-07-2021,6
"3426 North 23rd Street, Milwaukee, Wisconsin 53206",06-09-2021,6
"3381 North 22nd Street, Milwaukee, Wisconsin 53206",03-23-2021,6
"3830 North 12th Street, Milwaukee, Wisconsin 53206",03-05-2018,6
"3220 North Achilles Street, Milwaukee, Wisconsin 53212",04-07-2021,6
"2767 North Holton Street 2, Milwaukee, Wisconsin 53212",08-28-2019,6
"3938 North 54th Street, Milwaukee, Wisconsin 53216",09-28-2020,6
"3538 North 2nd Lane, Milwaukee, Wisconsin 53212",04-06-2021,6
"3433 North 20th Street A, Milwaukee, Wisconsin 53206",04-29-2021,6
"3433 North 20th Street, Milwaukee, Wisconsin 53206",04-28-2021,6
"3362 North 22nd Street, Milwaukee, Wisconsin 53206",11-06-2020,6
"232 East Burleigh Street, Milwaukee, Wisconsin 53212",02-15-2021,6
"3279 North 16th Street, Milwaukee, Wisconsin 53206",05-14-2021,6
"3602 North Port Washington Avenue, Milwaukee, Wisconsin 53212",07-20-2020,6
"2662 North Holton Street, Milwaukee, Wisconsin 53212",03-27-2019,6
"3620 North 9th Street, Milwaukee, Wisconsin 53206",11-20-2019,6
"3629 North 19th Street, Milwaukee, Wisconsin 53206",03-19-2021,6
"3378 North 22nd Street A, Milwaukee, Wisconsin 53206",12-22-2020,6
"3457 North 15th Street A, Milwaukee, Wisconsin 53206",02-02-2021,6
"3457 North 15th Street, Milwaukee, Wisconsin 53206",02-02-2021,6
"3378 North 22nd Street, Milwaukee, Wisconsin 53206",01-08-2021,6
"2515 North Palmer Street, Milwaukee, Wisconsin 53212",10-07-2020,6
"3941 North 12th Street, Milwaukee, Wisconsin 53206",10-16-2020,6
"3517 North 25th Street A, Milwaukee, Wisconsin 53206",11-20-2019,6
"3358 North 22nd Street, Milwaukee, Wisconsin 53206",09-11-2020,6
"3846 North 13th Street, Milwaukee, Wisconsin 53206",10-13-2020,6
"3120 North 16th Street, Milwaukee, Wisconsin 53206",10-06-2020,6
"3148 North 14th Street, Milwaukee, Wisconsin 53206",10-26-2020,6
"3360 North 22nd Street, Milwaukee, Wisconsin 53206",09-09-2020,6
"3228 North Achilles Street, Milwaukee, Wisconsin 53212",02-12-2020,6
"3620 North Port Washington Road, Milwaukee, Wisconsin 53212",08-25-2020,6
"3562 North 11th Street, Milwaukee, Wisconsin 53206",09-09-2020,6
"3366 North 2nd Street, Milwaukee, Wisconsin 53212",07-15-2020,6
"3361 North Vel R. Phillips Avenue, Milwaukee, Wisconsin 53212",10-25-2019,6
"3183 North 14th Street, Milwaukee, Wisconsin 53206",02-26-2020,6
"3372 North Richards Street, Milwaukee, Wisconsin 53212",03-04-2020,6
"3529 North 24th Place, Milwaukee, Wisconsin 53206",07-29-2020,6
"2316 West Keefe Avenue, Milwaukee, Wisconsin 53206",04-01-2020,6
"3009 North 6th Street, Milwaukee, Wisconsin 53212",12-19-2018,6
"425 West Chambers Street, Milwaukee, Wisconsin 53212",02-28-2020,6
"2727 North 5th Street 4, Milwaukee, Wisconsin 53212",06-27-2019,6
"3284 North 15th Street, Milwaukee, Wisconsin 53206",06-13-2019,6
"2479 West Keefe Avenue A, Milwaukee, Wisconsin 53206",12-17-2019,6
"3735 North 3rd Street, Milwaukee, Wisconsin 53212",09-13-2019,6
"3535 North Vel R. Phillips Avenue, Milwaukee, Wisconsin 53212",02-25-2019,6
"3352 North Palmer Street, Milwaukee, Wisconsin 53212",07-16-2019,6
"402 West Keefe Avenue, Milwaukee, Wisconsin 53212",07-19-2019,6
"3428 North Palmer Street, Milwaukee, Wisconsin 53212",01-15-2019,6
"3800 N 7th Street, Milwaukee, Wisconsin 53212",12-20-2019,6
"3461 North 1st Street A, Milwaukee, Wisconsin 53212",03-20-2019,6
"3461 North 1st Street, Milwaukee, Wisconsin 53212",03-20-2019,6
"3618 North 23rd Street, Milwaukee, Wisconsin 53206",10-24-2019,6
"3340 North 14th Street, Milwaukee, Wisconsin 53206",10-03-2019,6
"3166 North 14th Street, Milwaukee, Wisconsin 53206",10-30-2018,6
"3166 North 14th Street A, Milwaukee, Wisconsin 53206",10-30-2018,6
"3005 North 14th Street A, Milwaukee, Wisconsin 53206",02-13-2018,6
"3005 North 14th Street, Milwaukee, Wisconsin 53206",02-13-2018,6
"3629 North 24th Place, Milwaukee, Wisconsin 53206",01-14-2019,6
"3629 North 24th Place A, Milwaukee, Wisconsin 53206",01-14-2019,6
"902 West Nash Street, Milwaukee, Wisconsin 53206",10-02-2018,6
"3166 North Buffum Street, Milwaukee, Wisconsin 53212",10-24-2018,6
"3350 North 23rd Street, Milwaukee, Wisconsin 53206",11-13-2018,6
"3642 North 13th Street A, Milwaukee, Wisconsin 53206",11-06-2018,6
"3935 North 17th Street, Milwaukee, Wisconsin 53206",07-03-2018,6
"3933 North 17th Street, Milwaukee, Wisconsin 53206",07-05-2018,6
"3431 North 13th Street, Milwaukee, Wisconsin 53206",01-26-2018,6
"2659 North 1st Street, Milwaukee, Wisconsin 53212",01-31-2018,6
"3642 North 13th Street, Milwaukee, Wisconsin 53206",11-06-2018,6
"3781 North 13th Street, Milwaukee, Wisconsin 53206",02-01-2018,6
"3779 North 13th Street, Milwaukee, Wisconsin 53206",02-01-2018,6
"3517 North 25th Street, Milwaukee, Wisconsin 53206",11-20-2019,6
"3452 North 16th Street, Milwaukee, Wisconsin 53206",01-28-2020,6
"2727 North 5th Street 3, Milwaukee, Wisconsin 53212",06-19-2019,6
"3143 North 14th Street, Milwaukee, Wisconsin 53206",03-12-2019,6
"2374 North Richards Street, Milwaukee, Wisconsin 53212",12-19-2018,6
"2376 North Richards Street, Milwaukee, Wisconsin 53212",12-19-2018,6
"2823 North Palmer Street, Milwaukee, Wisconsin 53212",08-30-2018,6
"125 West Hadley Street B, Milwaukee, Wisconsin 53212",07-27-2018,6
"3261 North 30th Street A, Milwaukee, Wisconsin 53216",08-28-2019,7
"3378 North 38th Street, Milwaukee, Wisconsin 53216",04-08-2022,7
"1429 North 37th Street, Milwaukee, Wisconsin 53208",03-14-2022,7
"4136 North 47th Street, Milwaukee, Wisconsin 53216",03-21-2022,7
"3152 North 53rd Street, Milwaukee, Wisconsin 53216",05-19-2022,7
"3042 North 29th Street, Milwaukee, Wisconsin 53210",01-06-2022,7
"4515 North 40th Street, Milwaukee, Wisconsin 53209",03-17-2022,7
"2864 North 49th Street, Milwaukee, Wisconsin 53210",03-31-2022,7
"4416 North 37th Street, Milwaukee, Wisconsin 53209",03-17-2022,7
"2852 North 51st Street, Milwaukee, Wisconsin 53210",01-18-2019,7
"3511 North 37th Street, Milwaukee, Wisconsin 53216",01-21-2022,7
"2866 North 49th Street, Milwaukee, Wisconsin 53210",06-04-2021,7
"4752 North 36th Street, Milwaukee, Wisconsin 53209",09-17-2021,7
"3713 North 39th Street, Milwaukee, Wisconsin 53216",11-19-2021,7
"3007 North 38th Street, Milwaukee, Wisconsin 53210",11-18-2020,7
"2506 W Nash Street, Milwaukee, Wisconsin 53206",11-02-2020,7
"2906 North 50th St, Milwaukee, Wisconsin 53210",10-06-2021,7
"4829 West Medford Avenue, Milwaukee, Wisconsin 53216",10-28-2021,7
"2761 North 44th Street, Milwaukee, Wisconsin 53210",10-26-2021,7
"2763 North 44th Street, Milwaukee, Wisconsin 53210",10-26-2021,7
"2755 North 47th Street, Milwaukee, Wisconsin 53210",03-30-2021,7
"2757 North 47th Street, Milwaukee, Wisconsin 53210",03-30-2021,7
"3000 North 37th Street, Milwaukee, Wisconsin 53210",09-16-2021,7
"3322 North 51st Boulevard, Milwaukee, Wisconsin 53216",09-03-2021,7
"4041 North Montreal Street, Milwaukee, Wisconsin 53216",12-15-2020,7
"3403 North 39th Street, Milwaukee, Wisconsin 53216",08-12-2021,7
"3387 North 38th Street, Milwaukee, Wisconsin 53216",06-23-2021,7
"4509 North 37th Street, Milwaukee, Wisconsin 53209",04-27-2021,7
"2961 North 28th Street, Milwaukee, Wisconsin 53210",11-23-2020,7
"3047 North 39th Street, Milwaukee, Wisconsin 53210",06-02-2020,7
"3226 North 28th Street, Milwaukee, Wisconsin 53216",03-10-2020,7
"2847 North 49th Street, Milwaukee, Wisconsin 53210",02-05-2021,7
"3377 North 28th Street A, Milwaukee, Wisconsin 53216",05-13-2021,7
"7009 West Villard Avenue, Milwaukee, Wisconsin 53218",04-30-2021,7
"4456 North 57th Street, Milwaukee, Wisconsin 53218",05-25-2021,7
"3377 North 28th Street, Milwaukee, Wisconsin 53216",05-13-2021,7
"2921 West Chambers Street, Milwaukee, Wisconsin 53210",04-30-2019,7
"4634 West Scranton Place, Milwaukee, Wisconsin 53216",04-19-2021,7
"4636 West Scranton Place, Milwaukee, Wisconsin 53216",04-19-2021,7
"4926 West Hoyt Place, Milwaukee, Wisconsin 53216",12-18-2020,7
"3025 North 44th Street, Milwaukee, Wisconsin 53210",03-08-2021,7
"3768 North 39th Street, Milwaukee, Wisconsin 53216",03-29-2021,7
"2845 North 49th Street, Milwaukee, Wisconsin 53210",03-03-2021,7
"2814 North 45th Street, Milwaukee, Wisconsin 53210",07-23-2020,7
"2817 North 22nd Street, Milwaukee, Wisconsin 53206",11-30-2020,7
"3954 North 40th Street, Milwaukee, Wisconsin 53216",12-21-2020,7
"4260 North 36th Street, Milwaukee, Wisconsin 53216",01-09-2020,7
"2842 North 52nd Street, Milwaukee, Wisconsin 53210",09-10-2020,7
"3172 North 50th Street, Milwaukee, Wisconsin 53216",10-08-2019,7
"2421 West Hopkins Street A, Milwaukee, Wisconsin 53206",08-05-2020,7
"2709 North 47th Street, Milwaukee, Wisconsin 53210",07-23-2019,7
"3916 North 26th Street, Milwaukee, Wisconsin 53206",08-31-2020,7
"4620 West Hale Place, Milwaukee, Wisconsin 53216",12-09-2019,7
"2879 North Sherman Boulevard, Milwaukee, Wisconsin 53210",08-14-2020,7
"5132 West Townsend Street, Milwaukee, Wisconsin 53216",08-14-2020,7
"3310 North 39th Street, Milwaukee, Wisconsin 53216",06-18-2020,7
"4344 West Rice Way, Milwaukee, Wisconsin 53216",01-28-2020,7
"3739 North 38th Street, Milwaukee, Wisconsin 53216",03-03-2020,7
"3008 North 39th Street, Milwaukee, Wisconsin 53210",12-17-2019,7
"4128 West Burleigh Street 3, Milwaukee, Wisconsin 53210",06-17-2019,7
"2969 North 36th Street, Milwaukee, Wisconsin 53210",01-23-2019,7
"2878 North 47th Street, Milwaukee, Wisconsin 53210",02-17-2020,7
"3359 North 47th Street, Milwaukee, Wisconsin 53216",02-03-2020,7
"5026 West Marion Street, Milwaukee, Wisconsin 53216",01-28-2020,7
"2943 North 44th Street, Milwaukee, Wisconsin 53210",03-06-2018,7
"4780 North 42nd Street, Milwaukee, Wisconsin 53209",09-13-2018,7
"3732 North 37th Street, Milwaukee, Wisconsin 53216",08-21-2018,7
"3046 North 37th Street, Milwaukee, Wisconsin 53210",06-20-2018,7
"3078 North 25th Street, Milwaukee, Wisconsin 53206",08-20-2018,7
"3217 North 30th Street, Milwaukee, Wisconsin 53216",05-18-2018,7
"3217 North 30th Street A, Milwaukee, Wisconsin 53216",05-18-2018,7
"2876 North 47th Street, Milwaukee, Wisconsin 53210",02-17-2020,7
"2402 West Auer Avenue, Milwaukee, Wisconsin 53206",02-26-2020,7
"2912 North 24th Street, Milwaukee, Wisconsin 53206",10-11-2018,7
"3011 North 24th Street, Milwaukee, Wisconsin 53206",05-20-2019,7
"2720 North 49th Street, Milwaukee, Wisconsin 53210",09-19-2019,7
"3005 North 40th Street, Milwaukee, Wisconsin 53210",10-03-2019,7
"3132 North 33rd Street, Milwaukee, Wisconsin 53216",02-13-2019,7
"3225 N 35th Street, Milwaukee, Wisconsin 53216",10-18-2019,7
"4124 North 40th Street, Milwaukee, Wisconsin 53216",01-03-2019,7
"3843 N 25th Street, Milwaukee, Wisconsin 53206",09-16-2019,7
"3756 North 38th Street, Milwaukee, Wisconsin 53216",04-05-2019,7
"4555 North Sherman Blvd, Milwaukee, Wisconsin 53209",08-21-2019,7
"4673 North 44th Street, Milwaukee, Wisconsin 53218",05-31-2019,7
"3317 West Auer Avenue, Milwaukee, Wisconsin 53216",11-05-2018,7
"4622 North 42nd Street, Milwaukee, Wisconsin 53209",11-06-2018,7
"4473 North 44th Street, Milwaukee, Wisconsin 53218",02-13-2018,7
"4332 North 40th Street, Milwaukee, Wisconsin 53216",11-15-2018,7
"3422 North 47th Street, Milwaukee, Wisconsin 53216",02-12-2018,7
"4661 North Sherman Boulevard, Milwaukee, Wisconsin 53209",01-19-2018,7
"4475 North 45th Street, Milwaukee, Wisconsin 53218",02-02-2018,7
"3818 North 36th Street, Milwaukee, Wisconsin 53216",01-23-2018,7
"4741 North 42nd Street, Milwaukee, Wisconsin 53209",10-12-2018,7
"2934 North 39th Street, Milwaukee, Wisconsin 53210",08-28-2018,7
"3075 North 24th Street, Milwaukee, Wisconsin 53206",12-10-2018,7
"2712 North 50th Street, Milwaukee, Wisconsin 53210",08-14-2018,7
"2756 North 47th Street, Milwaukee, Wisconsin 53210",02-01-2018,7
"3912 North 25th Street, Milwaukee, Wisconsin 53206",01-17-2018,7
"3208 North 53rd Street, Milwaukee, Wisconsin 53216",11-29-2018,7
"3014 North 37th Street, Milwaukee, Wisconsin 53210",08-01-2018,7
"2941 North 44th Street, Milwaukee, Wisconsin 53210",03-06-2018,7
"3946 North 28th Street, Milwaukee, Wisconsin 53216",02-07-2018,7
"2972 North 40th Street, Milwaukee, Wisconsin 53210",08-03-2018,7
"3021 North 39th Street, Milwaukee, Wisconsin 53210",04-10-2019,7
"3333 North 26th Street, Milwaukee, Wisconsin 53206",07-25-2019,7
"2720 North 50th Street, Milwaukee, Wisconsin 53210",07-08-2019,7
"3124 North 38th Street, Milwaukee, Wisconsin 53216",05-16-2019,7
